id,left,top,right,bottom,SAMPLE_1,SAMPLE_2,SAMPLE_3,SAMPLE_4
"213",27.649003343,43.203982027,27.650003343,43.204482027,,,,
"214",27.649003343,43.203482027,27.650003343,43.203982027,,,,
"215",27.649003343,43.202982027,27.650003343,43.203482027,,,,
"216",27.649003343,43.202482027,27.650003343,43.202982027,,,,
"217",27.649003343,43.201982027,27.650003343,43.202482027,,,,
"218",27.649003343,43.201482027,27.650003343,43.201982027,,,,
"219",27.649003343,43.200982027,27.650003343,43.201482027,,,,
"220",27.649003343,43.200482027,27.650003343,43.200982027,,,,
"221",27.649003343,43.199982027,27.650003343,43.200482027,,,,
"222",27.649003343,43.199482027,27.650003343,43.199982027,,,,
"223",27.649003343,43.198982027,27.650003343,43.199482027,,,,
"224",27.649003343,43.198482027,27.650003343,43.198982027,,,,
"225",27.649003343,43.197982027,27.650003343,43.198482027,,,,
"226",27.649003343,43.197482027,27.650003343,43.197982027,,,,
"227",27.649003343,43.196982027,27.650003343,43.197482027,,,,
"228",27.649003343,43.196482027,27.650003343,43.196982027,,,,
"229",27.649003343,43.195982027,27.650003343,43.196482027,,,,
"230",27.649003343,43.195482027,27.650003343,43.195982027,,,,
"231",27.649003343,43.194982027,27.650003343,43.195482027,,,,
"232",27.649003343,43.194482027,27.650003343,43.194982027,,,,
"233",27.649003343,43.193982027,27.650003343,43.194482027,,,,
"234",27.649003343,43.193482027,27.650003343,43.193982027,,,,
"235",27.649003343,43.192982027,27.650003343,43.193482027,,,,
"236",27.649003343,43.192482027,27.650003343,43.192982027,,,,
"237",27.649003343,43.191982027,27.650003343,43.192482027,,,,
"238",27.649003343,43.191482027,27.650003343,43.191982027,,,,
"239",27.649003343,43.190982027,27.650003343,43.191482027,,,,
"240",27.649003343,43.190482027,27.650003343,43.190982027,,,,
"241",27.649003343,43.189982027,27.650003343,43.190482027,,,,
"242",27.649003343,43.189482027,27.650003343,43.189982027,"160","140","15","255"
"243",27.649003343,43.188982027,27.650003343,43.189482027,"240","231","52","255"
"244",27.649003343,43.188482027,27.650003343,43.188982027,"255","243","32","255"
"245",27.649003343,43.187982027,27.650003343,43.188482027,"209","102","6","255"
"246",27.649003343,43.187482027,27.650003343,43.187982027,"201","29",,"255"
"247",27.649003343,43.186982027,27.650003343,43.187482027,"233","8","6","255"
"248",27.649003343,43.186482027,27.650003343,43.186982027,"192","4",,"255"
"249",27.649003343,43.185982027,27.650003343,43.186482027,"138","65","48","255"
"250",27.649003343,43.185482027,27.650003343,43.185982027,,,,
"251",27.649003343,43.184982027,27.650003343,43.185482027,,,,
"252",27.649003343,43.184482027,27.650003343,43.184982027,,,,
"253",27.649003343,43.183982027,27.650003343,43.184482027,,,,
"254",27.649003343,43.183482027,27.650003343,43.183982027,,,,
"255",27.649003343,43.182982027,27.650003343,43.183482027,,,,
"256",27.649003343,43.182482027,27.650003343,43.182982027,,,,
"257",27.649003343,43.181982027,27.650003343,43.182482027,,,,
